cityMPG,combMPG,highwayMPG,make,model,year
15,18,22,Acura,NSX,2000
15,18,22,Acura,NSX,2000
17,19,23,BMW,M Coupe,2000
17,19,24,BMW,Z3 Coupe,2000
17,19,24,BMW,Z3 Coupe,2000
17,19,24,BMW,Z3 Roadster,2000
17,20,25,BMW,Z3 Roadster,2000
17,19,24,BMW,Z3 Roadster,2000
17,19,24,BMW,Z3 Roadster,2000
12,15,19,BMW,Z8,2000
15,18,23,Chevrolet,Corvette,2000
16,19,25,Chevrolet,Corvette,2000
11,14,19,Dodge,Viper Convertible,2000
11,14,19,Dodge,Viper Coupe,2000
10,11,15,Ferrari,360 Modena/Spider,2000
10,11,15,Ferrari,360 Modena/Spider,2000
8,9,12,Ferrari,550 Maranello,2000
49,53,61,Honda,Insight,2000
18,20,23,Honda,S2000,2000
14,16,21,Lotus,Esprit V8,2000
20,22,25,Mazda,MX-5 Miata,2000
22,24,27,Mazda,MX-5 Miata,2000
21,23,26,Mazda,MX-5 Miata,2000
14,17,21,Mercedes-Benz,SL500,2000
12,14,18,Mercedes-Benz,SL600,2000
20,22,27,Mercedes-Benz,SLK230 Kompressor,2000
19,22,28,Mercedes-Benz,SLK230 Kompressor,2000
15,18,21,Plymouth,Prowler,2000
16,18,23,Porsche,Boxster,2000
17,20,25,Porsche,Boxster,2000
15,17,22,Porsche,Boxster S,2000
16,18,23,Porsche,Boxster S,2000
22,24,27,Toyota,MR2,2000
10,12,17,Aston Martin,DB-7 Vantage Coupe,2000
10,12,17,Aston Martin,DB-7 Vantage Coupe,2000
10,12,17,Aston Martin,DB-7 Vantage Volante,2000
10,12,17,Aston Martin,DB-7 Vantage Volante,2000
19,23,29,Audi,TT Coupe,2000
18,21,26,Audi,TT Coupe quattro,2000
16,18,22,BMW,323i Convertible,2000
17,19,23,BMW,323i Convertible,2000
17,19,23,BMW,M Roadster,2000
15,18,22,Jaguar,XK8 Convertible,2000
14,17,20,Jaguar,XKR Convertible,2000
17,20,25,Mercedes-Benz,CLK320 (Cabriolet),2000
15,18,22,Mercedes-Benz,CLK430 (Cabriolet),2000
15,18,23,Porsche,911 Carrera,2000
15,17,22,Porsche,911 Carrera,2000
15,18,23,Porsche,911 Carrera,2000
15,17,22,Porsche,911 Carrera,2000
17,21,28,Qvale,Detomaso Mangusta,2000
21,23,28,Acura,Integra,2000
22,24,28,Acura,Integra,2000
22,24,28,Acura,Integra,2000
10,12,15,Bentley,Azure,2000
10,12,15,Bentley,Continental SC,2000
10,12,15,Bentley,Continental T,2000
17,19,25,BMW,323ci,2000
18,21,26,BMW,323ci,2000
16,19,25,BMW,328ci,2000
18,21,26,BMW,328ci,2000
17,20,26,Chevrolet,Camaro,2000
17,21,28,Chevrolet,Camaro,2000
15,18,23,Chevrolet,Camaro,2000
16,19,25,Chevrolet,Camaro,2000
20,22,26,Chevrolet,Cavalier,2000
20,23,29,Chevrolet,Cavalier,2000
21,24,31,Chevrolet,Cavalier,2000
19,23,28,Chevrolet,Cavalier,2000
20,24,30,Chevrolet,Cavalier,2000
32,36,41,Chevrolet,Metro,2000
26,28,31,Chevrolet,Metro,2000
31,34,38,Chevrolet,Metro,2000
9,11,14,Ferrari,456 MGT/MGA,2000
9,11,15,Ferrari,456 MGT/MGA,2000
22,25,30,Ford,Escort ZX2,2000
22,25,30,Ford,Escort ZX2,2000
18,20,25,Ford,Mustang,2000
17,21,26,Ford,Mustang,2000
16,18,22,Ford,Mustang,2000
15,18,23,Ford,Mustang,2000
15,18,23,Ford,Mustang,2000
12,14,17,Ford,Mustang,2000
24,27,32,Honda,Civic,2000
24,27,32,Honda,Civic,2000
27,30,33,Honda,Civic,2000
25,28,32,Honda,Civic,2000
22,25,29,Honda,Civic,2000
29,31,35,Honda,Civic HX,2000
30,33,39,Honda,Civic HX,2000
19,21,24,Honda,Prelude,2000
20,22,25,Honda,Prelude,2000
19,22,28,Hyundai,Tiburon,2000
21,24,29,Hyundai,Tiburon,2000
16,18,23,Jaguar,XK8,2000
15,17,21,Jaguar,XKR,2000
17,19,22,Lexus,SC,2000
16,19,23,Lexus,SC,2000
18,21,26,Mercedes-Benz,CLK320,2000
16,19,23,Mercedes-Benz,CLK430,2000
18,21,25,Mitsubishi,Eclipse,2000
18,21,25,Mitsubishi,Eclipse,2000
20,23,28,Mitsubishi,Eclipse,2000
18,20,25,Mitsubishi,Eclipse,2000
18,21,26,Mitsubishi,Eclipse,2000
25,28,32,Mitsubishi,Mirage,2000
28,31,36,Mitsubishi,Mirage,2000
22,25,30,Mitsubishi,Mirage,2000
24,27,33,Mitsubishi,Mirage,2000
17,20,26,Pontiac,Firebird/Trans Am,2000
17,21,28,Pontiac,Firebird/Trans Am,2000
15,18,23,Pontiac,Firebird/Trans Am,2000
16,19,25,Pontiac,Firebird/Trans Am,2000
20,22,26,Pontiac,Sunfire,2000
20,23,29,Pontiac,Sunfire,2000
21,24,31,Pontiac,Sunfire,2000
19,23,28,Pontiac,Sunfire,2000
20,24,30,Pontiac,Sunfire,2000
10,12,15,Rolls-Royce,Corniche,2000
17,20,24,Saab,9-3 Convertible,2000
18,20,23,Saab,9-3 Convertible,2000
19,22,27,Saab,9-3 Convertible,2000
19,22,27,Saab,9-3 Convertible,2000
18,21,27,Saab,9-3 Viggen Convertible,2000
23,27,33,Saturn,SC,2000
22,26,32,Saturn,SC,2000
25,29,36,Saturn,SC,2000
23,27,34,Saturn,SC,2000
20,22,26,Subaru,Impreza AWD,2000
18,21,25,Subaru,Impreza AWD,2000
24,26,31,Suzuki,Esteem,2000
26,29,33,Suzuki,Esteem,2000
23,26,30,Suzuki,Esteem,2000
24,27,32,Suzuki,Esteem,2000
26,28,31,Suzuki,Swift,2000
31,34,38,Suzuki,Swift,2000
20,23,28,Toyota,Camry Solara Convertible,2000
17,19,24,Toyota,Camry Solara Convertible,2000
23,26,31,Toyota,Celica,2000
20,23,27,Toyota,Celica,2000
24,27,31,Toyota,Celica,2000
20,23,29,Toyota,Celica,2000
19,22,26,Volkswagen,Cabrio,2000
21,24,28,Volkswagen,Cabrio,2000
19,22,25,Volkswagen,New Beetle,2000
22,24,28,Volkswagen,New Beetle,2000
29,33,40,Volkswagen,New Beetle,2000
35,38,44,Volkswagen,New Beetle,2000
19,22,26,Volkswagen,New Beetle,2000
21,24,28,Volkswagen,New Beetle,2000
17,19,23,Volvo,C70 Convertible,2000
18,20,24,Volvo,C70 Convertible,2000
17,19,24,Volvo,C70 Convertible,2000
18,21,28,Audi,A4,2000
21,24,29,Audi,A4,2000
16,19,24,Audi,A4,2000
18,21,26,Audi,A4,2000
17,20,26,Audi,A4 quattro,2000
19,22,26,Audi,A4 quattro,2000
16,18,23,Audi,A4 quattro,2000
16,19,23,Audi,A4 quattro,2000
15,18,22,Audi,S4,2000
15,18,22,Audi,S4,2000
10,12,15,Bentley,Continental R,2000
17,20,26,BMW,323i,2000
17,19,25,BMW,323i,2000
18,21,26,BMW,323i,2000
17,20,25,BMW,328i,2000
16,19,25,BMW,328i,2000
18,21,26,BMW,328i,2000
16,19,24,BMW,528i,2000
16,19,24,BMW,528i,2000
18,21,26,BMW,528i,2000
16,18,22,BMW,540i,2000
14,16,19,BMW,540i,2000
14,16,21,BMW,540i,2000
12,15,19,BMW,M5,2000
24,26,29,Chevrolet,Prizm,2000
25,28,34,Chevrolet,Prizm,2000
27,30,34,Chevrolet,Prizm,2000
17,20,25,Chrysler,Sebring,2000
17,20,25,Chrysler,Sebring Convertible,2000
16,19,24,Chrysler,Sebring Convertible,2000
21,25,33,Daewoo,Lanos,2000
23,26,32,Daewoo,Lanos,2000
20,24,31,Daewoo,Lanos,2000
23,26,33,Daewoo,Lanos,2000
19,22,28,Daewoo,Nubira,2000
20,23,28,Daewoo,Nubira,2000
17,20,25,Dodge,Avenger,2000
22,24,28,Dodge,Neon,2000
24,27,31,Dodge,Neon,2000
19,23,28,Ford,Contour,2000
21,25,31,Ford,Contour,2000
18,21,26,Ford,Contour,2000
18,21,27,Ford,Contour,2000
22,26,31,Ford,Escort,2000
24,27,32,Ford,Escort,2000
23,26,30,Ford,Focus,2000
22,24,28,Ford,Focus,2000
24,27,32,Ford,Focus,2000
22,25,31,Ford,Focus,2000
23,26,31,Hyundai,Accent/Brio,2000
24,28,33,Hyundai,Accent/Brio,2000
19,22,28,Hyundai,Elantra,2000
21,24,30,Hyundai,Elantra,2000
20,23,28,Infiniti,G20,2000
21,24,29,Infiniti,G20,2000
15,18,22,Jaguar,XJ8,2000
14,16,20,Jaguar,XJR,2000
20,23,29,Kia,Sephia/Spectra,2000
20,22,26,Kia,Sephia/Spectra,2000
17,20,24,Lexus,ES 300,2000
21,25,31,Mercury,Cougar,2000
18,21,26,Mercury,Cougar,2000
18,21,26,Mercury,Cougar,2000
19,23,28,Mercury,Mystique,2000
21,25,31,Mercury,Mystique,2000
18,21,26,Mercury,Mystique,2000
18,21,26,Mercury,Mystique,2000
17,20,25,Mazda,Millenia,2000
17,20,24,Mazda,Millenia,2000
23,26,30,Mazda,Protege,2000
25,27,31,Mazda,Protege,2000
21,23,27,Mazda,Protege,2000
22,25,28,Mazda,Protege,2000
19,22,26,Mercedes-Benz,C230 Kompressor,2000
19,21,25,Mercedes-Benz,C280,2000
16,18,21,Mercedes-Benz,C43 AMG,2000
15,17,21,Mercedes-Benz,CL500,2000
18,21,26,Nissan,Altima,2000
21,24,28,Nissan,Altima,2000
23,26,30,Nissan,Sentra,2000
23,26,32,Nissan,Sentra,2000
21,23,27,Nissan,Sentra,2000
21,24,28,Nissan,Sentra,2000
19,23,28,Oldsmobile,Alero,2000
19,23,28,Oldsmobile,Alero,2000
17,21,29,Oldsmobile,Alero,2000
